,long,lat,NAME,FOLDERPATH,SYMBOLID,LatRound4,LongRound4,LatLong4,nearest_block,nearest_road
139,103.86016423384199,1.3449851795894299,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.345,103.8602,"1.345,103.8602",,
140,103.856256394827,1.35492545375958,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3549,103.8563,"1.3549,103.8563",,
141,103.857586091965,1.3561097908108797,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3561,103.8576,"1.3561,103.8576",,
142,103.855111356395,1.3564295859573001,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3564,103.8551,"1.3564,103.8551",,
143,103.85774805996701,1.35528530193463,CENTRAL EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3553,103.8577,"1.3553,103.8577",,
144,103.73809356572201,1.3269477889873702,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3269,103.7381,"1.3269,103.7381",,
145,103.737718144847,1.3265467552902799,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3265,103.7377,"1.3265,103.7377",20A,TEBAN GARDENS ROAD
146,103.734971799084,1.3269936230883201,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.327,103.735,"1.327,103.735",,
147,103.663029393328,1.32363660832357,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3236,103.663,"1.3236,103.663",,
148,103.654331216406,1.3312847301186599,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3313,103.6543,"1.3313,103.6543",,
149,103.637455376693,1.34769341666567,AYER RAJAH EXPRESSWAY,Layers/Expressway_Sliproad,2,1.3477,103.6375,"1.3477,103.6375",,
150,103.85028764267099,1.31789530495645,BALESTIER ROAD,Layers/Expressway_Sliproad,2,1.3179,103.8503,"1.3179,103.8503",69,MOULMEIN ROAD
